A,C_KSWCK,C_SAC007,C_SAC022,C_SAC029A,C_SAC041,C_SAC062,C_SAC063,C_SAC065,C_SAC075,C_SAC083,C_SAC093,C_SAC120,C_SAC122,C_SAC148,C_SAC159,C_SAC169,C_SAC185,C_SAC193,C_SAC207,C_SAC217,C_SAC240,C_SAC247,C_SAC257,C_SAC269,C_SAC287,C_YBP002,SP_SAC083_YBP037
1926-08-31,9075.077,7564.0835,8137.8677,8137.8677,13975.171,13980.854,14084.482,11950.676,12082.58,12213.4795,4815.0,4981.5405,5184.6914,5842.1494,5837.644,6048.681,6996.808,6997.488,7051.944,8784.272,8725.037,9501.053,9437.346,9369.371,8847.738,197.70387,0.0
1926-09-30,4886.206,4832.3667,5024.2856,5024.2856,9354.928,9311.106,9464.356,7867.5205,7874.1777,7730.753,4629.1675,3414.1694,3415.1428,3450.0515,3431.8308,3496.9214,4211.836,4210.067,4167.514,5087.551,4999.6147,5383.6616,5315.156,5313.644,4777.688,241.38794,0.0
1926-10-31,4216.5913,5144.4717,5231.4287,5231.4287,7227.616,7126.5317,7243.856,6399.5522,6453.4478,6423.5566,4069.4321,3490.7817,3544.3809,3636.8196,3642.018,3723.629,4354.541,4359.8677,4382.602,5091.3438,4926.341,5020.2627,4950.74,5008.9087,4395.4443,84.60309,0.0
1926-11-30,3250.0,19087.158,17534.963,17534.963,22602.482,21044.61,21095.488,19634.855,19520.66,18928.725,11720.652,8517.918,8158.2075,8308.572,8351.574,8673.733,9519.97,9404.1045,8859.61,8894.693,6374.5303,6381.7876,6203.448,9035.863,3601.3704,1082.4109,0.0
1926-12-31,5460.956,10583.9795,10128.33,10128.33,12931.637,12711.177,12754.404,11256.278,11237.309,11182.884,14275.382,14058.579,14834.82,15104.043,15180.562,15461.643,16152.142,16130.263,14520.748,14692.227,12692.243,12691.783,12542.822,9068.763,5832.6807,875.7374,0.0
1927-01-31,5983.549,28082.99,27157.395,27157.395,32767.473,31616.021,31658.584,28142.85,28195.56,28307.28,16100.12,16135.317,16878.303,17052.74,17387.986,17565.67,16579.049,16559.428,15392.671,15018.474,13491.75,13530.396,13302.958,10355.382,6330.8545,1062.0902,0.0
1927-02-28,30836.945,121186.36,63605.723,63605.723,75223.3,72936.586,72980.266,60253.78,61802.145,61590.63,24401.531,24049.229,23377.748,39685.527,65055.7,71403.83,62033.734,61917.223,56578.67,55181.906,49312.688,49347.582,48850.3,42416.2,31560.219,56447.57,47735.402
1927-03-31,4658.1445,37328.785,34719.508,34719.508,41575.99,40309.055,40354.82,37175.305,37234.414,37099.39,18192.826,18249.99,16954.826,16956.303,17029.123,16903.365,14961.09,14852.071,14347.917,13823.479,11430.239,11436.038,11258.924,8309.974,5140.4307,2692.994,0.0
1927-04-30,11613.712,38316.223,35763.844,35763.844,42792.453,42494.36,42550.312,35056.664,35168.824,35020.19,18029.379,18195.818,18263.018,19264.812,21690.92,21702.227,20468.855,20480.027,20138.52,19971.074,17846.762,18431.137,18289.082,15679.247,11823.092,2711.8506,265.06036
1927-05-31,7217.0366,19656.588,19643.91,19643.91,24015.598,23837.951,23916.908,16953.031,17084.56,16998.191,7091.817,6637.388,6850.356,7547.293,7463.5366,7555.016,8764.27,8741.526,8488.758,10144.494,8923.331,9784.169,9692.821,9380.427,7258.4004,615.5433,0.0
1927-06-30,8443.176,11311.62,11727.362,11727.362,18562.986,18410.568,18511.148,12195.04,12408.419,12528.59,4287.2563,4714.1416,4933.1987,5648.4946,5598.0205,5694.9277,6768.011,6761.4893,6638.8667,8576.329,8351.35,9440.874,9362.3545,9546.418,8411.308,376.20953,0.0
1927-07-31,13913.727,12000.77,12690.91,12690.91,20731.43,20614.41,20724.6,16708.812,16900.582,17253.012,6661.253,7246.5903,7636.537,8649.982,8693.925,9112.107,10245.05,10300.091,10442.772,12973.8,12902.056,14202.275,14132.506,14262.845,13588.493,273.00793,0.0
